VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount
7,2025-03-03T18:24:09Z,2025-03-03T19:44:09Z,142,236,1,16.3,2,N,2,51.82,0.0,0.5,0.0,0.0,0.3,2.75,55.37
2,2025-03-24T23:49:23Z,2025-03-25T00:04:23Z,236,236,1,2.9,2,N,1,14.25,0.0,0.5,0.69,0.0,0.3,2.75,18.49
6,2025-03-21T07:00:04Z,2025-03-21T07:11:04Z,130,236,5,1.44,1,N,1,8.64,0.5,0.5,2.49,0.0,0.3,2.75,15.18
2,2025-03-14T14:31:32Z,2025-03-14T15:03:32Z,148,140,2,5.55,2,N,2,17.0,0.0,0.5,0.0,0.0,0.3,2.75,20.55
7,2025-03-14T10:09:48Z,2025-03-14T10:38:48Z,130,140,3,6.27,1,N,1,19.9,0.0,0.5,4.47,0.0,0.3,2.75,27.92
2,2025-03-27T14:47:48Z,2025-03-27T15:23:48Z,130,236,1,9.09,1,N,1,30.42,0.0,0.5,5.53,0.0,0.3,2.75,39.5
1,2025-03-03T15:56:36Z,2025-03-03T16:33:36Z,142,236,1,7.99,3,N,1,32.13,0.0,0.5,8.34,0.0,0.3,2.75,44.02
2,2025-03-22T14:50:30Z,2025-03-22T14:59:30Z,142,236,1,1.58,1,N,1,5.38,0.0,0.5,1.44,0.0,0.3,2.75,10.37
1,2025-03-07T05:53:36Z,2025-03-07T06:05:36Z,236,236,1,2.91,1,N,1,8.38,0.0,0.5,1.54,0.0,0.3,2.75,13.47
2,2025-03-03T22:04:04Z,2025-03-03T22:10:04Z,236,236,4,2.23,1,N,1,9.04,0.5,0.5,3.09,0.0,0.3,2.75,16.18
2,2025-03-17T07:42:01Z,2025-03-17T07:53:01Z,148,236,1,2.06,1,N,1,10.24,0.0,0.5,1.26,0.0,0.3,2.75,15.05
7,2025-03-31T05:51:46Z,2025-03-31T06:18:46Z,130,236,1,7.93,1,N,1,25.84,0.5,0.5,3.92,0.0,0.3,2.75,33.81
7,2025-03-23T19:23:59Z,2025-03-23T19:39:59Z,236,236,4,3.53,1,N,1,12.94,0.0,0.5,1.99,0.0,0.3,2.75,18.48
2,2025-03-24T14:17:16Z,2025-03-24T14:25:16Z,100,236,1,2.79,1,Y,1,11.96,0.0,0.5,4.63,0.0,0.3,2.75,20.14
6,2025-03-23T05:48:11Z,2025-03-23T06:08:11Z,142,236,1,3.15,1,N,1,12.18,0.5,0.5,3.09,0.0,0.3,2.75,19.32
1,2025-03-25T08:49:54Z,2025-03-25T09:03:54Z,142,236,2,1.73,1,N,1,8.96,0.5,0.5,1.08,0.0,0.3,2.75,14.09
2,2025-03-16T21:50:26Z,2025-03-16T22:00:26Z,148,140,1,2.31,1,N,1,11.23,0.0,0.5,2.92,0.0,0.3,2.75,17.7
2,2025-03-04T23:18:59Z,2025-03-04T23:31:59Z,130,236,2,1.77,1,Y,1,6.98,0.0,0.5,1.06,0.0,0.3,2.75,11.59
2,2025-03-27T00:46:21Z,2025-03-27T01:23:21Z,236,236,3,6.94,1,N,1,20.31,0.5,0.5,4.87,0.0,0.3,2.75,29.23
7,2025-03-14T23:05:13Z,2025-03-14T23:29:13Z,100,236,3,4.6,99,N,1,27.11,0.5,0.5,2.69,0.0,0.3,2.75,33.85
2,2025-03-16T12:15:42Z,2025-03-16T12:23:42Z,100,236,1,2.72,2,N,2,12.96,0.5,0.5,0.0,0.0,0.3,2.75,17.01
2,2025-03-12T11:52:25Z,2025-03-12T12:05:25Z,142,236,1,2.29,1,N,1,5.4,0.5,0.5,0.69,0.0,0.3,2.75,10.14
2,2025-03-06T15:49:00Z,2025-03-06T16:08:00Z,148,140,3,2.37,1,N,1,12.37,0.0,0.5,3.66,0.0,0.3,2.75,19.58
2,2025-03-29T17:30:47Z,2025-03-29T18:09:47Z,142,236,3,5.73,3,N,1,25.27,0.5,0.5,3.99,0.0,0.3,2.75,33.31
2,2025-03-25T05:29:10Z,2025-03-25T05:42:10Z,100,236,6,2.22,1,N,2,9.52,0.5,0.5,0.0,0.0,0.3,2.75,13.57
1,2025-03-20T23:02:08Z,2025-03-20T23:05:08Z,142,236,1,0.96,2,N,1,8.77,0.0,0.5,3.3,0.0,0.3,2.75,15.62
6,2025-03-13T11:23:46Z,2025-03-13T11:45:46Z,130,140,4,4.68,2,N,1,21.04,0.5,0.5,0.64,0.0,0.3,2.75,25.73
2,2025-03-26T12:08:04Z,2025-03-26T12:20:04Z,236,236,1,3.06,1,Y,1,8.85,0.5,0.5,2.84,0.0,0.3,2.75,15.74
2,2025-03-17T21:47:57Z,2025-03-17T21:59:57Z,148,236,3,2.36,1,N,1,9.5,0.0,0.5,1.9,0.0,0.3,2.75,14.95
