VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount
2,2025-03-01T08:00:00Z,2025-03-01T08:12:00Z,142,236,1,3.2,1,N,1,12.50,0.50,0.50,2.00,0.00,0.30,2.75,18.55
2,2025-03-02T09:15:00Z,2025-03-02T09:45:00Z,100,236,3,10.5,99,N,2,35.00,0.00,0.50,0.00,0.00,0.30,2.75,38.55
2,2025-03-03T10:00:00Z,2025-03-03T10:25:00Z,142,236,2,7.5,1,N,1,28.00,0.50,0.50,5.00,0.00,0.30,2.75,40.05
1,2025-03-04T20:30:00Z,2025-03-04T20:50:00Z,130,236,1,5.0,1,N,1,15.00,0.50,0.50,3.00,0.00,0.30,2.75,21.05
6,2025-03-05T07:10:00Z,2025-03-05T07:40:00Z,236,140,2,12.0,2,N,1,28.50,0.50,0.50,6.00,0.00,0.30,2.75,38.55
7,2025-03-06T13:05:00Z,2025-03-06T13:50:00Z,148,236,4,18.0,3,N,1,32.00,0.50,0.50,8.00,0.00,0.30,2.75,44.05
1,2025-03-21T07:47:00Z,2025-03-21T08:08:00Z,237,161,1,1.8,1,N,2,13.50,0.50,0.50,0.00,0.00,0.30,2.75,17.55
2,2025-03-28T00:51:00Z,2025-03-28T01:21:00Z,141,186,1,7.0,1,N,3,35.50,0.00,0.50,0.00,0.00,0.30,2.75,39.05
1,2025-03-20T20:23:30Z,2025-03-20T20:49:30Z,52,246,1,4.9,1,Y,2,25.00,0.50,0.50,0.00,0.00,0.30,2.75,29.05
1,2025-03-20T17:34:45Z,2025-03-20T18:14:45Z,170,29,1,2.9,1,N,2,22.50,0.50,0.50,0.00,0.00,0.30,2.75,26.55
1,2025-03-30T17:09:00Z,2025-03-30T17:51:00Z,186,140,2,3.9,1,N,2,26.00,0.50,0.50,0.00,0.00,0.30,2.75,30.05
1,2025-03-13T16:29:30Z,2025-03-13T17:33:30Z,137,170,1,14.4,3,N,1,87.00,0.50,0.50,19.61,7.00,0.30,2.75,117.66
1,2025-03-10T19:32:30Z,2025-03-10T20:56:30Z,166,141,1,6.6,1,N,3,40.50,0.50,0.50,0.00,0.00,0.30,2.75,44.55
2,2025-03-25T15:08:00Z,2025-03-25T15:32:00Z,103,230,4,3.3,1,N,1,19.00,0.00,0.50,0.00,0.00,0.30,2.75,22.55
2,2025-03-21T05:04:00Z,2025-03-21T07:00:00Z,100,162,1,20.1,1,N,1,89.50,0.00,0.50,25.00,6.94,0.30,2.75,124.99
2,2025-03-04T05:46:00Z,2025-03-04T05:57:00Z,246,142,1,2.4,1,N,1,15.50,1.00,0.50,3.46,0.00,0.30,0.00,20.76
2,2025-03-06T13:30:00Z,2025-03-06T14:03:00Z,233,132,4,4.8,1,N,1,29.50,0.00,0.50,5.95,0.00,0.30,2.75,39.00
1,2025-03-17T21:33:00Z,2025-03-17T21:46:00Z,207,100,1,1.9,1,N,1,12.50,1.00,0.50,3.41,0.00,0.30,2.75,20.46
2,2025-03-08T09:08:45Z,2025-03-08T10:07:45Z,100,38,1,9.9,2,N,2,58.50,0.50,0.50,0.00,0.00,0.30,2.75,62.55
2,2025-03-18T18:39:45Z,2025-03-18T19:17:45Z,136,141,2,5.3,1,N,2,32.50,0.50,0.50,0.00,0.00,0.30,2.75,36.55
1,2025-03-09T20:54:00Z,2025-03-09T21:28:00Z,163,246,1,4.3,1,N,1,29.50,0.50,0.50,6.71,0.00,0.30,2.75,40.26
1,2025-03-19T15:27:00Z,2025-03-19T16:32:00Z,138,141,1,20.2,2,N,3,73.50,0.00,0.50,0.00,6.94,0.30,2.75,83.99
2,2025-03-06T20:01:00Z,2025-03-06T21:26:00Z,163,132,1,19.4,2,N,2,70.50,0.50,0.50,0.00,0.00,0.30,2.75,74.55
6,2025-03-07T12:17:00Z,2025-03-07T12:38:00Z,236,163,1,2.9,1,Y,1,17.00,0.00,0.50,3.70,0.00,0.30,2.75,24.25
2,2025-03-09T04:27:00Z,2025-03-09T05:16:00Z,234,138,2,13.4,1,N,2,63.00,0.00,0.50,0.00,6.94,0.30,2.75,73.49
2,2025-03-18T07:26:45Z,2025-03-18T09:01:45Z,236,161,2,17.2,2,N,1,63.00,0.50,0.50,8.55,6.94,0.30,0.00,79.79
2,2025-03-03T10:42:45Z,2025-03-03T12:07:45Z,140,162,1,20.4,3,N,1,111.00,0.00,0.50,24.30,6.94,0.30,2.75,145.79
1,2025-03-28T18:06:15Z,2025-03-28T18:32:15Z,63,264,2,3.5,1,N,1,21.50,0.50,0.50,4.60,0.00,0.30,2.75,30.15
2,2025-03-30T15:57:00Z,2025-03-30T16:16:00Z,79,162,1,2.9,1,N,1,16.00,0.00,0.50,3.91,0.00,0.30,2.75,23.46
1,2025-03-23T08:26:15Z,2025-03-23T08:48:15Z,132,263,1,4.5,1,N,2,26.00,0.50,0.50,0.00,6.94,0.30,2.75,36.99
1,2025-03-26T16:14:15Z,2025-03-26T17:10:15Z,239,66,1,11.7,1,N,1,54.50,0.50,0.50,8.78,0.00,0.30,2.75,67.33
1,2025-03-15T11:48:15Z,2025-03-15T11:58:15Z,237,180,5,2.8,1,N,2,12.00,0.50,0.50,0.00,0.00,0.30,2.75,16.05
2,2025-03-08T07:42:00Z,2025-03-08T07:57:00Z,130,263,1,2.0,1,N,2,12.50,0.50,0.50,0.00,0.00,0.30,2.75,16.55
2,2025-03-04T18:19:45Z,2025-03-04T18:28:45Z,186,114,1,1.2,5,N,2,21.00,0.50,0.50,0.00,0.00,0.30,2.75,25.05
1,2025-03-14T08:33:45Z,2025-03-14T09:19:45Z,163,162,2,6.8,1,N,1,34.50,0.50,0.50,5.78,0.00,0.30,2.75,44.33
2,2025-03-26T09:17:30Z,2025-03-26T10:02:30Z,48,162,1,7.0,1,N,2,35.00,0.50,0.50,0.00,0.00,0.30,2.75,39.05
1,2025-03-19T12:35:30Z,2025-03-19T12:48:30Z,162,161,6,1.7,1,N,1,11.50,0.00,0.50,3.01,0.00,0.30,2.75,18.06
1,2025-03-20T10:06:00Z,2025-03-20T10:49:00Z,237,132,1,5.3,1,N,1,28.50,1.00,0.50,4.81,7.00,0.30,2.75,44.86
2,2025-03-03T12:04:30Z,2025-03-03T12:47:30Z,61,234,1,6.8,1,N,1,33.50,0.50,0.50,5.22,0.00,0.30,0.00,40.02
2,2025-03-20T05:47:00Z,2025-03-20T06:08:00Z,142,234,1,3.4,1,N,1,20.50,0.00,0.50,4.81,0.00,0.30,2.75,28.86
2,2025-03-26T19:37:45Z,2025-03-26T20:26:45Z,140,239,1,8.6,1,N,1,39.00,0.50,0.50,6.46,0.00,0.30,2.75,49.51
1,2025-03-18T14:05:30Z,2025-03-18T14:43:30Z,11,138,1,5.5,1,N,1,27.00,1.00,0.50,9.62,6.94,0.30,2.75,48.11
2,2025-03-16T11:21:00Z,2025-03-16T11:40:00Z,19,170,3,2.8,1,N,1,15.50,0.50,0.50,0.00,0.00,0.30,2.75,19.55
2,2025-03-17T12:48:15Z,2025-03-17T13:05:15Z,132,236,2,2.7,1,N,1,15.50,1.00,0.50,4.01,0.00,0.30,2.75,24.06
2,2025-03-16T21:18:30Z,2025-03-16T22:03:30Z,161,261,1,5.3,1,N,1,31.50,0.50,0.50,0.00,0.00,0.30,2.75,35.55
6,2025-03-24T10:37:30Z,2025-03-24T10:50:30Z,68,170,1,2.4,1,N,1,13.00,1.00,0.50,4.39,0.00,0.30,2.75,21.94
6,2025-03-26T19:09:15Z,2025-03-26T21:22:15Z,52,246,1,13.6,4,N,1,84.00,0.50,0.50,18.45,6.94,0.30,0.00,110.69
1,2025-03-16T20:02:30Z,2025-03-16T20:55:30Z,141,132,1,17.7,2,N,4,70.50,0.50,0.50,0.00,0.00,0.30,2.75,74.55
2,2025-03-05T09:26:30Z,2025-03-05T09:48:30Z,48,74,1,1.7,1,N,1,12.50,0.50,0.50,0.00,0.00,0.30,2.75,16.55
2,2025-03-31T11:37:00Z,2025-03-31T11:54:00Z,48,230,1,4.7,1,N,2,25.00,0.00,0.50,0.00,0.00,0.30,2.75,28.55
2,2025-03-22T18:03:30Z,2025-03-22T19:22:30Z,162,107,3,18.7,2,N,2,66.50,0.50,0.50,0.00,6.94,0.30,2.75,77.49
1,2025-03-02T16:46:00Z,2025-03-02T17:24:00Z,186,163,1,6.3,1,N,1,32.50,0.50,0.50,9.14,0.00,0.30,2.75,45.69
2,2025-03-05T18:14:45Z,2025-03-05T20:06:45Z,236,141,5,17.4,4,N,2,89.50,0.50,0.50,0.00,0.00,0.30,2.75,93.55
1,2025-03-29T21:20:30Z,2025-03-29T21:46:30Z,140,237,1,2.5,1,N,2,15.50,0.00,0.50,0.00,0.00,0.30,2.75,19.05
2,2025-03-31T15:37:45Z,2025-03-31T15:54:45Z,144,186,3,2.2,1,N,2,15.00,1.00,0.50,0.00,0.00,0.30,2.75,19.55
2,2025-03-02T12:12:00Z,2025-03-02T12:30:00Z,26,162,2,4.5,1,N,1,24.00,0.00,0.50,6.89,0.00,0.30,2.75,34.44
1,2025-03-05T15:51:00Z,2025-03-05T16:05:00Z,236,237,3,1.9,1,N,1,12.00,0.00,0.50,2.33,0.00,0.30,2.75,17.88
2,2025-03-20T04:50:45Z,2025-03-20T05:43:45Z,138,132,1,8.9,4,N,1,62.00,0.00,0.50,11.30,0.00,0.30,0.00,74.10
1,2025-03-20T13:50:45Z,2025-03-20T14:54:45Z,162,246,2,12.4,2,N,1,74.00,0.00,0.50,9.31,0.00,0.30,2.75,86.86
2,2025-03-14T06:47:00Z,2025-03-14T07:09:00Z,186,217,1,2.6,1,N,1,14.00,0.50,0.50,2.71,0.00,0.30,2.75,20.76
2,2025-03-25T09:14:15Z,2025-03-25T09:35:15Z,138,137,5,1.9,1,N,1,12.00,0.50,0.50,3.21,0.00,0.30,2.75,19.26
2,2025-03-01T06:33:00Z,2025-03-01T06:42:00Z,44,80,1,1.4,1,N,1,10.00,0.50,0.50,2.03,0.00,0.30,0.00,13.33
1,2025-03-09T08:32:00Z,2025-03-09T09:27:00Z,162,107,1,5.8,1,N,1,32.00,0.50,0.50,6.49,0.00,0.30,2.75,42.54
2,2025-03-22T19:04:15Z,2025-03-22T19:48:15Z,100,114,1,3.5,1,N,2,28.00,0.50,0.50,0.00,0.00,0.30,0.00,29.30
2,2025-03-03T13:06:00Z,2025-03-03T13:45:00Z,263,79,1,5.3,1,N,2,31.50,0.00,0.50,0.00,0.00,0.30,2.75,35.05
2,2025-03-04T07:12:00Z,2025-03-04T07:32:00Z,263,100,2,1.8,1,N,1,15.00,0.50,0.50,0.00,0.00,0.30,2.75,19.05
2,2025-03-15T17:50:00Z,2025-03-15T18:31:00Z,164,142,1,5.0,1,N,1,30.50,0.50,0.50,6.22,0.00,0.30,2.75,40.77
6,2025-03-11T16:32:00Z,2025-03-11T17:09:00Z,114,162,1,4.1,1,Y,2,27.50,0.50,0.50,0.00,0.00,0.30,2.75,31.55
1,2025-03-21T17:04:00Z,2025-03-21T17:18:00Z,77,100,2,2.1,1,N,2,12.00,0.50,0.50,0.00,0.00,0.30,2.75,16.05
2,2025-03-11T19:42:45Z,2025-03-11T19:58:45Z,186,164,2,2.5,1,N,1,12.00,0.50,0.50,1.93,0.00,0.30,2.75,17.98
1,2025-03-25T15:47:30Z,2025-03-25T16:04:30Z,132,264,1,1.7,1,N,1,13.50,0.50,0.50,4.39,0.00,0.30,2.75,21.94
2,2025-03-26T14:53:00Z,2025-03-26T15:11:00Z,79,239,4,2.3,5,N,1,20.50,0.50,0.50,3.68,0.00,0.30,2.75,28.23
1,2025-03-25T07:28:30Z,2025-03-25T10:01:30Z,236,230,1,21.9,3,N,1,134.50,0.50,0.50,17.46,6.94,0.30,2.75,162.95
2,2025-03-10T21:30:45Z,2025-03-10T21:42:45Z,161,217,2,2.1,1,N,1,13.00,0.00,0.50,3.31,0.00,0.30,2.75,19.86
